"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2024","105.50","107.10","116.50","103.65","0.01K","2.53%"
"04/01/2024","102.90","119.00","121.60","101.00","1.40K","-9.78%"
"03/01/2024","114.05","107.00","115.50","107.00","0.68K","9.24%"
"02/01/2024","104.40","98.90","105.70","93.50","1.09K","4.82%"
"01/01/2024","99.60","107.50","116.50","94.20","1.59K","-15.31%"
"12/01/2023","117.60","120.00","126.00","116.00","0.61K","-1.09%"
"11/01/2023","118.90","123.65","127.00","114.05","0.83K","-3.72%"
"10/01/2023","123.50","127.45","140.00","118.75","1.39K","0.16%"
"09/01/2023","123.30","117.00","124.00","115.00","0.15K","3.83%"
"08/01/2023","118.75","106.45","125.00","104.00","1.24K","12.83%"
"07/01/2023","105.25","123.00","124.00","103.50","1.55K","-8.87%"
"06/01/2023","115.50","92.00","118.40","92.00","0.93K","20.94%"
"05/01/2023","95.50","136.25","136.25","91.75","1.13K","-31.79%"
"04/01/2023","140.00","147.50","150.00","133.00","0.50K","1.60%"
"03/01/2023","137.80","146.50","146.50","123.00","1.01K","-5.55%"
"02/01/2023","145.90","142.50","156.00","129.00","1.10K","6.77%"
"01/01/2023","136.65","187.00","189.00","132.00","1.00K","-40.16%"
"12/01/2022","228.35","269.00","281.50","228.00","0.30K","-18.15%"
"11/01/2022","279.00","222.00","275.00","200.00","0.69K","27.25%"
"10/01/2022","219.25","308.35","308.35","215.00","1.13K","-33.26%"
"09/01/2022","328.50","370.00","400.00","322.00","0.26K","-10.49%"
"08/01/2022","367.00","368.40","382.00","313.00","1.10K","-5.41%"
"07/01/2022","388.00","374.00","400.00","367.00","0.56K","4.86%"
"06/01/2022","370.00","321.00","375.00","317.75","1.57K","11.11%"
"05/01/2022","333.00","261.00","339.00","261.00","1.36K","3.14%"
"04/01/2022","322.85","272.00","330.00","255.00","1.68K","18.26%"
"03/01/2022","273.00","260.00","465.00","260.00","2.77K","7.37%"
"02/01/2022","254.25","174.00","261.00","170.00","1.68K","42.64%"
"01/01/2022","178.25","120.00","178.00","120.00","2.73K","29.59%"
"12/01/2021","137.55","112.00","149.50","112.00","1.32K","23.81%"
"11/01/2021","111.10","140.00","159.00","110.00","1.81K","-52.25%"
"10/01/2021","232.65","222.00","280.00","220.00","1.70K","6.40%"
"09/01/2021","218.65","160.00","219.00","157.00","2.46K","42.21%"
"08/01/2021","153.75","141.00","154.00","140.00","1.07K","15.69%"
"07/01/2021","132.90","124.00","133.50","122.00","0.80K","10.06%"
"06/01/2021","120.75","96.00","121.00","95.50","1.77K","29.56%"
"05/01/2021","93.20","78.75","85.25","78.40","0.87K","29.62%"
"04/01/2021","71.90","70.30","73.90","67.50","0.63K","2.64%"
"03/01/2021","70.05","65.95","70.45","65.25","1.10K","5.90%"
"02/01/2021","66.15","68.00","68.65","63.30","1.27K","-2.43%"
"01/01/2021","67.80","69.75","70.50","64.20","2.26K","-1.74%"
"12/01/2020","69.00","60.95","72.00","60.90","1.54K","12.84%"
"11/01/2020","61.15","50.70","60.75","50.70","1.00K","9.10%"
