"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2024","81.83","71.82","87.71","69.41","8.65K","13.15%"
"04/01/2024","72.32","67.99","84.54","62.12","12.00K","6.27%"
"03/01/2024","68.05","62.51","76.05","61.02","8.13K","10.51%"
"02/01/2024","61.58","73.50","75.50","55.42","191.91K","-17.12%"
"01/01/2024","74.30","82.11","88.60","65.19","204.32K","-7.94%"
"12/01/2023","80.71","107.80","111.10","78.91","168.62K","-24.66%"
"11/01/2023","107.13","121.50","129.69","100.15","213.00K","-13.65%"
"10/01/2023","124.07","107.75","141.06","88.39","206.69K","17.71%"
"09/01/2023","105.40","90.00","115.01","74.34","190.68K","22.94%"
"08/01/2023","85.73","73.85","111.33","67.19","140.50K","21.17%"
"07/01/2023","70.75","97.25","97.84","58.50","114.65K","-22.44%"
"06/01/2023","91.22","60.94","125.30","53.81","154.41K","43.59%"
"05/01/2023","63.53","88.50","89.05","54.80","136.09K","-28.24%"
"04/01/2023","88.53","119.00","130.05","86.48","117.02K","-24.99%"
"03/01/2023","118.03","116.00","137.75","93.00","160.65K","2.16%"
"02/01/2023","115.54","147.00","154.75","114.91","104.16K","-20.60%"
"01/01/2023","145.51","187.00","191.90","128.00","109.42K","-21.79%"
"12/01/2022","186.05","405.00","406.25","176.25","100.20K","-49.67%"
"11/01/2022","369.65","294.00","382.30","226.39","83.27K","22.91%"
"10/01/2022","300.74","335.31","349.76","168.90","83.62K","-14.78%"
"09/01/2022","352.89","454.99","560.30","231.86","98.28K","-23.10%"
"08/01/2022","458.90","370.00","648.47","331.74","72.69K","30.40%"
"07/01/2022","351.92","249.75","399.99","185.00","86.47K","41.73%"
"06/01/2022","248.30","166.00","315.07","126.86","112.68K","35.16%"
"05/01/2022","183.71","144.02","199.69","114.36","106.73K","12.24%"
"04/01/2022","163.68","305.00","310.00","127.50","116.56K","-45.32%"
"03/01/2022","299.32","250.00","800.00","222.42","164.39K","25.88%"
"02/01/2022","237.78","194.52","348.00","156.00","120.25K","17.09%"
"01/01/2022","203.08","207.00","251.11","168.00","122.14K","19.01%"
"12/01/2021","170.64","238.02","470.83","158.63","120.83K","-28.40%"
"11/01/2021","238.31","180.00","258.88","160.78","103.04K","43.58%"
"10/01/2021","165.98","241.04","407.82","163.60","127.35K","-33.92%"
"09/01/2021","251.18","130.30","256.00","126.04","155.09K","96.68%"
"08/01/2021","127.71","106.37","129.20","98.80","93.94K","23.09%"
"07/01/2021","103.75","88.00","106.09","76.69","128.16K","20.82%"
"06/01/2021","85.87","63.36","86.90","61.55","120.36K","41.51%"
"05/01/2021","60.68","61.25","68.91","57.25","144.07K","0.73%"
"04/01/2021","60.24","47.12","60.60","46.27","158.23K","28.72%"
"03/01/2021","46.80","40.20","48.94","38.60","203.08K","17.62%"
"02/01/2021","39.79","51.00","55.00","39.10","200.09K","-25.14%"
"01/01/2021","53.15","56.50","83.50","51.96","281.31K","-5.76%"
"12/01/2020","56.40","44.00","57.30","40.80","263.61K","29.15%"
"11/01/2020","43.67","40.26","44.18","35.47","253.44K","5.23%"
"10/01/2020","41.50","39.00","44.50","35.24","264.73K","12.16%"
"09/01/2020","37.00","29.25","38.05","27.16","227.62K","27.81%"
"08/01/2020","28.95","15.17","29.33","14.56","220.08K","85.10%"
"07/01/2020","15.64","15.91","16.50","12.12","185.76K","-3.58%"
"06/01/2020","16.22","9.30","17.40","8.38","245.87K","68.43%"
"05/01/2020","9.63","15.09","15.09","8.09","171.13K","-30.57%"
"04/01/2020","13.87","16.00","18.05","12.70","198.78K","-15.06%"
"03/01/2020","16.33","22.57","25.19","16.24","260.59K","-24.75%"
"02/01/2020","21.70","25.32","24.20","19.89","288.96K","-10.26%"
"01/01/2020","24.18","32.29","34.42","23.86","266.63K","-22.18%"
"12/01/2019","31.07","42.20","42.20","30.91","235.75K","-27.34%"
"11/01/2019","42.76","43.00","44.95","39.50","252.45K","0.28%"
"10/01/2019","42.64","42.25","44.50","35.25","316.85K","-1.25%"
"09/01/2019","43.18","32.00","44.50","30.25","323.60K","30.73%"
"08/01/2019","33.03","30.10","35.75","28.10","202.06K","10.99%"
"07/01/2019","29.76","25.20","38.00","25.00","265.74K","16.02%"
"06/01/2019","25.65","27.86","30.00","23.59","259.75K","-6.96%"
"05/01/2019","27.57","33.00","34.67","27.50","267.23K","-18.09%"
"04/01/2019","33.66","34.60","43.41","31.55","309.92K","-2.74%"
"03/01/2019","34.61","43.60","44.00","34.00","250.83K","-21.54%"
"02/01/2019","44.11","51.00","51.50","43.23","230.78K","-14.38%"
"01/01/2019","51.52","60.72","63.84","51.15","255.63K","-15.64%"
"12/01/2018","61.07","70.64","70.64","60.20","167.57K","-9.58%"
"11/01/2018","67.54","67.47","75.00","64.32","305.12K","-0.94%"
"10/01/2018","68.18","74.71","77.72","64.50","314.62K","-9.17%"
"09/01/2018","75.06","67.75","79.55","67.75","335.75K","10.72%"
"08/01/2018","67.79","57.90","70.51","57.49","208.40K","15.78%"
"07/01/2018","58.55","55.00","59.82","54.80","204.19K","5.99%"
"06/01/2018","55.24","56.40","58.09","51.74","298.67K","-4.03%"
"05/01/2018","57.56","53.00","59.32","50.15","239.86K","8.42%"
"04/01/2018","53.09","47.19","53.22","46.04","210.52K","12.10%"
"03/01/2018","47.36","47.00","56.50","46.31","286.90K","1.48%"
"02/01/2018","46.67","50.13","58.93","46.25","309.59K","-4.66%"
"01/01/2018","48.95","56.00","56.72","47.60","284.83K","-13.26%"
"12/01/2017","56.43","56.89","73.70","54.80","262.27K","-0.48%"
"11/01/2017","56.70","50.40","58.65","50.40","294.18K","12.54%"
"10/01/2017","50.38","47.55","50.93","47.55","293.88K","6.47%"
"09/01/2017","47.32","44.64","49.16","43.53","347.14K","5.37%"
"08/01/2017","44.91","39.40","46.40","37.75","325.93K","13.70%"
"07/01/2017","39.50","36.79","40.31","33.15","296.05K","9.12%"
"06/01/2017","36.20","37.38","38.25","34.08","262.49K","-2.43%"
"05/01/2017","37.10","38.38","40.00","35.35","259.98K","-2.78%"
"04/01/2017","38.16","39.25","41.10","37.65","245.73K","-3.76%"
"03/01/2017","39.65","43.41","44.50","37.85","254.38K","-8.85%"
"02/01/2017","43.50","56.05","60.45","43.40","342.14K","-21.18%"
"01/01/2017","55.19","52.00","57.50","49.10","355.87K","2.91%"
"12/01/2016","53.63","49.00","55.00","42.35","172.97K","8.34%"
"11/01/2016","49.50","51.27","56.34","46.65","285.93K","-2.79%"
"10/01/2016","50.92","41.84","51.30","41.50","242.08K","24.20%"
"09/01/2016","41.00","31.80","42.23","29.50","276.70K","27.93%"
"08/01/2016","32.05","36.97","36.97","27.80","197.16K","-12.48%"
"07/01/2016","36.62","34.10","37.15","32.41","184.73K","5.50%"
"06/01/2016","34.71","32.23","35.54","31.81","228.71K","7.46%"
"05/01/2016","32.30","28.30","32.41","27.15","269.03K","12.90%"
"04/01/2016","28.61","27.90","33.00","26.25","308.44K","2.11%"
"03/01/2016","28.02","29.69","29.69","27.60","265.52K","-4.50%"
"02/01/2016","29.34","30.55","30.55","28.11","304.88K","-4.09%"
"01/01/2016","30.59","33.02","35.84","28.95","327.21K","-7.67%"
"12/01/2015","33.13","38.45","39.63","32.30","209.58K","-14.28%"
"11/01/2015","38.65","39.02","39.76","36.46","317.90K","-2.03%"
"10/01/2015","39.45","41.60","42.74","38.86","302.27K","-5.40%"
"09/01/2015","41.70","41.40","42.20","39.46","261.93K","2.01%"
"08/01/2015","40.88","41.93","41.93","37.75","206.71K","-3.47%"
"07/01/2015","42.35","42.10","44.25","41.60","192.40K","0.52%"
"06/01/2015","42.13","42.32","44.00","41.55","218.55K","0.57%"
"05/01/2015","41.89","41.85","43.56","41.29","225.96K","-0.12%"
"04/01/2015","41.94","45.98","48.66","41.80","232.50K","-8.61%"
"03/01/2015","45.89","49.50","49.70","44.55","336.84K","-8.28%"
"02/01/2015","50.03","45.86","55.58","45.62","389.59K","9.09%"
"01/01/2015","45.86","49.81","49.81","44.00","318.59K","-7.93%"
"12/01/2014","49.81","58.00","58.18","48.91","219.78K","-14.52%"
"11/01/2014","58.27","54.50","61.25","53.19","275.63K","7.77%"
"10/01/2014","54.07","55.79","57.16","52.72","316.22K","-3.08%"
"09/01/2014","55.79","51.10","56.50","48.94","328.81K","9.18%"
"08/01/2014","51.10","41.25","51.45","39.05","265.11K","23.10%"
"07/01/2014","41.51","39.57","43.75","35.10","209.00K","4.82%"
"06/01/2014","39.60","43.70","45.55","38.55","238.84K","-10.29%"
"05/01/2014","44.14","46.50","47.40","41.00","191.64K","-4.60%"
"04/01/2014","46.27","52.00","53.75","46.18","227.99K","-9.75%"
"03/01/2014","51.27","56.75","62.10","50.65","259.38K","-8.69%"
"02/01/2014","56.15","60.30","61.89","55.80","285.64K","-8.13%"
"01/01/2014","61.12","68.50","69.00","61.09","253.58K","-11.30%"
"12/01/2013","68.91","72.15","73.90","68.85","163.68K","-3.74%"
"11/01/2013","71.59","69.83","73.50","69.18","246.01K","2.27%"
"10/01/2013","70.00","67.77","71.50","67.40","198.86K","3.20%"
"09/01/2013","67.83","65.10","68.50","63.90","174.42K","4.05%"
"08/01/2013","65.19","66.27","66.27","63.45","128.29K","-1.63%"
"07/01/2013","66.27","65.15","66.50","64.85","92.40K","1.92%"
"06/01/2013","65.02","64.80","65.50","62.70","147.48K","-0.17%"
"05/01/2013","65.13","64.08","66.85","63.14","162.33K","1.88%"
"04/01/2013","63.93","66.50","68.76","63.65","172.68K","-5.64%"
"03/01/2013","67.75","67.34","76.15","66.80","213.73K","0.62%"
"02/01/2013","67.33","65.60","68.60","64.90","203.26K","3.68%"
"01/01/2013","64.94","64.50","69.60","64.20","228.13K","0.67%"
"12/01/2012","64.51","67.86","70.90","63.70","113.77K","-4.66%"
"11/01/2012","67.66","66.10","68.85","64.55","238.13K","1.99%"
"10/01/2012","66.34","61.83","69.55","61.24","266.14K","6.88%"
"09/01/2012","62.07","60.75","62.40","58.55","162.26K","5.36%"
"08/01/2012","58.91","54.90","59.30","53.85","136.28K","7.72%"
"07/01/2012","54.69","56.00","58.40","53.00","154.95K","-1.58%"
"06/01/2012","55.57","53.69","56.00","52.95","141.45K","2.95%"
"05/01/2012","53.98","58.50","59.30","51.74","125.80K","-6.72%"
