Reference Date,PUN Target,Date,PUN,Gas Price,Petrol Price,Coal Price,estrazione di petrolio greggio,estrazione di gas naturale,inizio guerra usa,inizio guerra algeria,inizio guerra nigeria,inizio guerra libia,inizio guerra arabia,inizio guerra quatar,inizio guerra iraq,inizio guerra azerbaijan,inizio guerra russia,inizio guerra civile usa,inizio guerra civile algeria,inizio guerra civile nigeria,inizio guerra civile libia,inizio guerra civile arabia,inizio guerra civile quatar,inizio guerra civile iraq,inizio guerra civile azerbaijan,inizio guerra civile russia,avvisaglie guerra usa,avvisaglie guerra algeria,avvisaglie guerra nigeria,avvisaglie guerra libia,avvisaglie guerra arabia,avvisaglie guerra quatar,avvisaglie guerra iraq,avvisaglie guerra azerbaijan,avvisaglie guerra russia,sanzioni verso usa,sanzioni verso algeria,sanzioni verso nigeria,sanzioni verso libia,sanzioni verso arabia,sanzioni verso quatar,sanzioni verso iraq,sanzioni verso azerbaijan,sanzioni verso russia,crisi economica,pandemia,lockdown,stato di emergenza
2024/05,94.88,2024/04,86.8,72.32,81.93,102.9,89.5,84.2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2024/04,86.8,2024/03,88.86,68.05,83.17,114.05,93.7,85.7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2024/03,88.86,2024/02,87.63,61.58,78.26,104.4,88.6,80.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2024/02,87.63,2024/01,99.16,74.3,75.85,99.6,95.6,85.7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2024/01,99.16,2023/12,115.46,80.71,71.65,117.6,96.5,83.4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023/12,115.46,2023/11,121.74,107.13,75.96,118.9,94.8,82.8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023/11,121.74,2023/10,134.26,124.07,81.02,123.5,100.7,87.7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023/10,134.26,2023/09,115.7,105.4,90.79,123.3,93.4,85.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023/09,115.7,2023/08,111.89,85.73,83.63,118.75,89.6,87.3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023/08,111.89,2023/07,112.09,70.75,81.8,105.25,77.6,87.1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023/07,112.09,2023/06,105.34,91.22,70.64,115.5,56.5,82.6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023/06,105.34,2023/05,105.73,63.53,68.09,95.5,78.5,87.1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2023/05,105.73,2023/04,134.97,88.53,76.78,140.0,96.3,85.9,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2023/04,134.97,2023/03,136.38,118.03,75.67,137.8,94.0,91.2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2023/03,136.38,2023/02,161.07,115.54,77.05,145.9,88.6,84.7,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2023/02,161.07,2023/01,174.49,145.51,80.11,136.65,102.6,97.1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2023/01,174.49,2022/12,294.91,186.05,80.47,228.35,101.1,93.2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2022/12,294.91,2022/11,224.51,369.65,80.56,279.0,95.1,92.8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2022/11,224.51,2022/10,211.5,300.74,86.53,219.25,97.9,100.1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2022/10,211.5,2022/09,429.92,352.89,79.49,328.5,90.0,96.3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2022/09,429.92,2022/08,543.15,458.9,89.55,367.0,91.2,98.3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2022/08,543.15,2022/07,441.65,351.92,98.62,388.0,91.3,98.7,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2022/07,441.65,2022/06,271.31,248.3,105.76,370.0,88.0,95.3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2022/06,271.31,2022/05,230.06,183.71,114.67,333.0,86.3,97.3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2022/05,230.06,2022/04,245.97,163.68,104.69,322.85,96.6,96.9,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2022/04,245.97,2022/03,308.07,299.32,100.28,273.0,94.0,100.3,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2022/03,308.07,2022/02,211.69,237.78,95.72,254.25,88.6,93.0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
2022/02,211.69,2022/01,224.5,203.08,88.15,178.25,95.6,101.2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
2022/01,224.5,2021/12,281.24,170.64,75.21,137.55,96.6,102.4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1
